,Vietnamese,E
811,"Khoản dự phòng phải thu khó đòi thể hiện các số tiền không thu được ước tính, được lập cho những khoản phải thu đã quá hạn thanh toán từ sáu tháng trở lên hoặc khi có những bằng chứng khách quan rằng Công ty không thể thu được tất cả các số tiền theo điều khoản thỏa thuận ban đầu. Tăng hoặc giảm số dư dự phòng phải thu khó đòi được hạch toán vào chi phí quản lý doanh nghiệp trong kỳ.",Provisions for doubtful debts of receivables represent the unrecoverable amounts which are estimated for overdue amounts from above six months or when there is objective evidence that the Company will not be able to collect all amounts due according to the original terms of the receivables. Increase or decrease of the provisions is recognized in the general and administration expenses of the period.
828,Kỳ kế toán năm của Công ty bắt đầu từ ngày 01 tháng 01 và kết thúc vào ngày 31 tháng 12.,The Company’s fiscal year is from January 01 to December 31.
829,Kỳ kế toán năm của Công ty bắt đầu từ ngày 01 tháng 04 năm trước và kết thúc vào ngày 31 tháng 03 năm sau.,The Company’s fiscal year is from April 01 of the prior year to March 31 of the following year.
830,Kỳ kế toán năm của Công ty bắt đầu từ ngày 01 tháng 07 năm trước và kết thúc vào ngày 30 tháng 06 năm sau.,The Company’s fiscal year is July 01 of the prior year to June 30 of the following year.
831,Kỳ kế toán năm của Công ty bắt đầu từ ngày 01 tháng 10 năm trước và kết thúc vào ngày 30 tháng 09 năm sau.,The Company’s fiscal year is from October 01 of the prior year to September 30 of the following year.
919,Lưu chuyển tiền thuần trong năm,"Net increase, decrease in cash and cash equivalents"
1077,Phát sinh giảm,Decreases
1119,Rủi ro thị trường,Market risks
1120,"Rủi ro thị trường là những biến động về giá trị thị trường sẽ ảnh hưởng đến kết quả kinh doanh của Công ty và giá trị của các công cụ tài chính mà Công ty nắm giữ. Rủi ro thị trường bao gồm rủi ro tỷ giá hối đoái, rủi ro lãi suất và rủi ro về giá.","Market risks are fluctuations caused to market price which affects the business of the Company and the value of financial instruments held by the Company. The market risks comprise foreign exchange risk, interest rate risk and price risk."
1123,"Rủi ro tỷ giá hối đoái là rủi ro mà giá trị hợp lý của các luồng tiền trong tương lai của một công cụ tài chính sẽ biến động theo sự thay đổi của tỷ giá hối đoái. Rủi ro tỷ giá hối đoái của Công ty chủ yếu liên quan đến [tiền, các khoản phải thu, phải trả và các khoản vay… của Công ty]. Công ty không thực hiện các biện pháp phòng ngừa rủi ro này do thiếu thị trường mua các công cụ tài chính này.",Foreign exchange risk is the risk that fair value of expected cash flows of a financial instrument will fluctuate because of changes in foreign exchange rate. The Company’s foreign exchange risk is mainly in relation to monetary amounts or receivables and payables or borrowings or etc. of the Company. The Company does not apply any hedging measures due to lack of market for acquiring these financial instruments.
1125,"Rủi ro về giá là rủi ro mà giá trị hợp lý của các luồng tiền trong tương lai của một công cụ tài chính sẽ biến động theo sự thay đổi của giá cả hàng hóa trên thị trường. Công ty mua nguyên vật liệu, hàng hóa từ các nhà cung cấp trong và ngoài nước để phục vụ cho hoạt động sản xuất kinh doanh. Do vậy, Công ty sẽ chịu rủi ro từ việc thay đổi giá bán của nguyên vật liệu, hàng hóa. Công ty không thực hiện các biện pháp phòng ngừa rủi ro này do thiếu thị trường mua các công cụ tài chính này.","Price risk is the risk that fair value of expected cash flows of a financial instrument will fluctuate because of changes in market price of goods. The Company purchases raw materials and goods from domestic and foreign suppliers for the production and business operations of the Company. Therefore, the Company is exposed to the risk of changes in selling prices of materials, goods. The Company does not apply any hedging measures due to lack of market for acquiring these financial instruments."
1146,Số dự phòng giảm giá hàng tồn kho được lập trên cơ sở chênh lệch lớn hơn giữa giá gốc và giá trị thuần có thể thực hiện được của hàng tồn kho tại ngày lập Bảng cân đối kế toán. Tăng hoặc giảm số dư dự phòng giảm giá hàng tồn kho được hạch toán vào giá vốn hàng bán trong kỳ.,The evaluation of necessary provision for decline in value of inventory is established as the difference whose historical cost of goods is higher than the net realizable value as at the balance sheet date. Increase or decrease in the balance of the provision for diminution in inventory is charged into the cost of goods sold in the period.
1167,Tỷ giá chuyển khoản này là tỷ giá mua (tỷ giá bán hoặc tỷ giá mua bán chuyển khoản trung bình) của ngân hàng thương mại nơi Công ty thường xuyên có giao dịch.,This transfer exchange rate may be the buying exchange rate (the selling exchange rate or the average transfer selling and buying rate) of the commercial bank where the Company has regular transactions.
1200,"Tăng, giảm các khoản phải thu","Increase, decrease in accounts receivable"
1201,"Tăng, giảm các khoản phải trả","Increase, decrease in accounts payable"
1202,"Tăng, giảm chi phí trả trước","Increase, decrease in prepaid expenses"
1203,"Tăng, giảm chứng khoán kinh doanh","Increase, decrease in trading securities"
1204,"Tăng, giảm hàng tồn kho","Increase, decrease in inventories"
1205,"Tăng, giảm số dự phòng giảm giá chứng khoán kinh doanh tại ngày kết thúc năm tài chính được ghi nhận vào chi phí tài chính.","Increase, decrease in provision for decline in value of trading securities at the end of the fiscal year is recognized into the financial expenses."
1206,"Tăng, giảm số dự phòng tổn thất đầu tư vào công cụ vốn của đơn vị khác cần phải trích lập tại ngày kết thúc năm tài chính được ghi nhận vào chi phí tài chính.","Increase, decrease in provision for impairment of investments in equity instruments of other units at the end of the fiscal year is recognized into the financial expenses."
1207,"Tăng, giảm số dự phòng tổn thất đầu tư vào công ty con tại ngày kết thúc năm tài chính được ghi nhận vào chi phí tài chính.","Increase, decrease in provision for impairment of investments in subsidiaries at the end of the fiscal year is recognized into the financial expenses."
1208,"Tăng, giảm số dự phòng tổn thất đầu tư vào công ty con, công ty liên doanh, liên kết tại ngày kết thúc năm tài chính được ghi nhận vào chi phí tài chính.","Increase, decrease in provision for impairment of investments in subsidiaries, joint ventures, associates at the end of the fiscal year is recognized into the financial expenses."
1209,"Tăng, giảm số dự phòng tổn thất đầu tư vào công ty con, công ty liên doanh, liên kết tại ngày kết thúc năm tài chính toán được ghi nhận vào chi phí tài chính.","Increase, decrease in provision for impairment of investments in subsidiaries, joint ventures, associates at the end of the fiscal year is recognized into the financial expenses."
1244,Theo biên bản họp,Per Minutes of Meeting-chọn-As per decision
1312,Thuế giá trị gia tăng chờ kê khai,Value-added tax pending declaration
1313,Thuế giá trị gia tăng chưa kê khai,Undeclared value-added tax
1414,Tình hình tăng giảm dự phòng giảm giá hàng tồn kho:,Increases and decreases in provision for devaluation of inventory:
1415,Tình hình tăng giảm vốn chủ sở hữu,"Increases, decreases in owner’s equity"
1416,"Tình hình tăng, giảm các khoản dự phòng phải thu ngắn hạn khó đòi như sau:",Increases and decreases in provision for short-term doubtful debts are as follows:
1417,"Tình hình tăng, giảm các khoản dự phòng phải thu dài hạn khó đòi như sau:",Increases and decreases in provision for long-term doubtful debts are as follows:
1418,"Tình hình tăng, giảm dự phòng giảm giá hàng tồn kho:",Increases and decreases in provision for devaluation of inventory:
1419,"Tình hình tăng, giảm dự phòng nợ phải thu khó đòi:",Increases and decreases in provision for doubtful debts:
1420,"Tình hình tăng, giảm vốn chủ sở hữu","Increases, decreases in owner’s equity"
1504,"Trong quá trình hoạt động, Công ty phải gánh chịu các rủi ro do sử dụng công cụ tài chính, bao gồm rủi ro thị trường, rủi ro tín dụng và rủi ro thanh khoản.","During its operation, the Company incurs risks of using financial instruments including market risks, credit risks and liquidity risks."
1524,Tuyên bố về việc tuân thủ Chuẩn mực kế toán và Chế độ kế toán,Declaration of adopting Accounting Standards and Accounting System
1525,Tỷ giá chuyển khoản này là tỷ giá bán của ngân hàng thương mại nơi Công ty thường xuyên có giao dịch.,This transfer exchange rate may be the selling exchange rate of the commercial bank where the Company has regular transactions.
1526,Tỷ giá chuyển khoản này là tỷ giá mua bán chuyển khoản trung bình của ngân hàng thương mại nơi Công ty thường xuyên có giao dịch.,This transfer exchange rate may be the average transfer selling and buying rate of the commercial bank where the Company has regular transactions.
1527,Tỷ giá chuyển khoản này là tỷ giá mua của ngân hàng thương mại nơi Công ty thường xuyên có giao dịch.,This transfer exchange rate may be the buying exchange rate of the commercial bank where the Company has regular transactions.
1651,Điều chỉnh giảm thu nhập chịu thuế,Adjustments to decrease taxable income
1712,Chi hộ/(Giảm khoản chi hộ),On-behalf payments/ (Decrease in on-behalf payments)
1912,Từ 01/01/2024 đến 31/12/2024,"From Jan 01, 2024 to Dec 31, 2024"
1921,Công ty áp dụng Chế độ kế toán doanh nghiệp nhỏ và vừa ban hành theo Thông tư số 133/2016/TT-BTC ngày 26 tháng 08 năm 2016 của Bộ Tài chính.,"The Company has applied the small and medium enterprise accounting system in accordance with Circular No. 133/2016/TT-BTC dated August 26, 2016 of the Ministry of Finance."
1923,"Thuế thu nhập doanh nghiệp hiện hành được tính căn cứ vào thuế suất áp dụng trong năm và kết quả kinh doanh trong năm đã được điều chỉnh cho vài khoản mục, mà cho rằng không được đánh giá hay được phép khi xác định thu nhập chịu thuế bao gồm cả khoản lỗ mang sang, nếu có. Do việc áp dụng luật và quy định về thuế đối với nhiều loại nghiệp vụ có thể được diễn giải khác nhau, số thuế được trình bày trên Báo cáo tài chính có thể bị thay đổi theo quyết định của cơ quan thuế.","Current corporate income tax is calculated based on the applicable tax rate and the business results for the year as adjusted for certain items that are deemed non-assessable or disallowed when determining taxable income, including tax losses carried forward, if any. Due to the application of tax laws and regulations to many types of transactions being subject to different interpretations, the tax amounts presented in the financial statements may be subject to adjustment upon determination by the tax authorities."
